Location,Delay,Latency,TTL
room,1,180,55
room,1,110,55
room,1,40,55
room,1,120,55
room,1,120,55
room,1,50,55
room,1,40,55
room,1,120,55
room,1,120,55
room,1,120,55
room,2,60,55
room,2,80,55
room,2,80,55
room,2,80,55
room,2,80,55
room,3,60,55
room,3,40,55
room,3,40,55
room,3,40,55
room,3,40,55
room,4,50,55
room,4,80,55
room,4,80,55
room,4,80,55
room,4,80,55
room,5,50,55
room,5,1240,55
room,5,1400,55
room,5,1400,55
room,5,1400,55
room,6,60,55
room,6,240,55
room,6,240,55
room,6,240,55
room,6,480,55
room,7,40,55
room,7,200,55
room,7,210,55
room,7,190,55
room,7,200,55
room,8,30,55
room,8,240,55
room,8,240,55
room,8,240,55
room,8,250,55
room,9,50,55
room,9,200,55
room,9,200,55
room,9,190,55
room,9,200,55
room,10,60,55
room,10,320,55
room,10,240,55
room,10,230,55
room,10,230,55
liv-room,1,220,55
liv-room,1,40,55
liv-room,1,120,55
liv-room,1,120,55
liv-room,1,120,55
liv-room,1,60,55
liv-room,1,40,55
liv-room,1,120,55
liv-room,1,120,55
liv-room,1,120,55
liv-room,2,50,55
liv-room,2,80,55
liv-room,2,80,55
liv-room,2,80,55
liv-room,2,80,55
liv-room,3,50,55
liv-room,3,40,55
liv-room,3,40,55
liv-room,3,40,55
liv-room,3,40,55
liv-room,4,50,55
liv-room,4,80,55
liv-room,4,80,55
liv-room,4,80,55
liv-room,4,80,55
liv-room,5,60,55
liv-room,5,1560,55
liv-room,5,1400,55
liv-room,5,1400,55
liv-room,5,1640,55
liv-room,6,60,55
liv-room,6,240,55
liv-room,6,230,55
liv-room,6,240,55
liv-room,6,240,55
liv-room,7,60,55
liv-room,7,200,55
liv-room,7,200,55
liv-room,7,190,55
liv-room,7,200,55
liv-room,8,50,55
liv-room,8,240,55
liv-room,8,240,55
liv-room,8,230,55
liv-room,8,240,55
liv-room,9,50,55
liv-room,9,200,55
liv-room,9,200,55
liv-room,9,190,55
liv-room,9,200,55
liv-room,10,60,55
liv-room,10,240,55
liv-room,10,240,55
liv-room,10,240,55
liv-room,10,240,55
elevator,1,240,55
elevator,1,90,55
elevator,1,120,55
elevator,1,170,55
elevator,1,100,55
elevator,1,100,55
elevator,1,120,55
elevator,1,110,55
elevator,1,100,55
elevator,1,120,55
elevator,2,50,55
elevator,2,70,55
elevator,2,100,55
elevator,2,60,55
elevator,2,100,55
elevator,3,110,55
elevator,3,100,55
elevator,3,120,55
elevator,3,130,55
elevator,3,100,55
elevator,4,60,55
elevator,4,90,55
elevator,4,80,55
elevator,4,140,55
elevator,4,110,55
elevator,5,130,55
elevator,5,1210,55
elevator,5,1310,55
elevator,5,1400,55
elevator,5,1400,55
elevator,6,50,55
elevator,6,560,55
elevator,6,270,55
elevator,6,210,55
elevator,6,250,55
elevator,7,140,55
elevator,7,370,55
elevator,7,270,55
elevator,7,280,55
elevator,7,330,55
elevator,8,40,55
elevator,8,470,55
elevator,8,320,55
elevator,8,-1,-1
elevator,8,770,55
elevator,9,170,55
elevator,9,210,55
elevator,9,200,55
elevator,9,270,55
elevator,9,200,55
elevator,10,50,55
elevator,10,240,55
elevator,10,240,55
elevator,10,240,55
elevator,10,240,55
basement,1,270,55
basement,1,110,55
basement,1,130,55
basement,1,100,55
basement,1,120,55
basement,1,50,55
basement,1,40,55
basement,1,120,55
basement,1,110,55
basement,1,120,55
basement,2,60,55
basement,2,80,55
basement,2,70,55
basement,2,70,55
basement,2,90,55
basement,3,40,55
basement,3,40,55
basement,3,40,55
basement,3,30,55
basement,3,30,55
basement,4,60,55
basement,4,90,55
basement,4,50,55
basement,4,80,55
basement,4,70,55
basement,5,60,55
basement,5,1810,55
basement,5,1140,55
basement,5,1400,55
basement,5,1400,55
basement,6,40,55
basement,6,230,55
basement,6,240,55
basement,6,240,55
basement,6,250,55
basement,7,50,55
basement,7,190,55
basement,7,200,55
basement,7,210,55
basement,7,200,55
basement,8,40,55
basement,8,240,55
basement,8,240,55
basement,8,230,55
basement,8,240,55
basement,9,50,55
basement,9,200,55
basement,9,200,55
basement,9,210,55
basement,9,190,55
basement,10,60,55
basement,10,400,55
basement,10,800,55
basement,10,240,55
basement,10,240,55
